year,ghgAbateAnnualFMs
2020,390400.0
2021,900734.9964598401
2022,1441530.5380634242
2023,2013048.5677161282
2024,2615551.0283233286
2025,3249299.8627904006
2026,3914557.014022721
2027,4611584.424925664
2028,5340644.038404609
2029,6101997.79736493
2030,6895907.644712001
2031,7722635.523351201
2032,8582443.376187906
2033,9475593.14612749
2034,10402346.77607533
2035,11362966.208936801
2036,12357713.387617283
2037,13386850.255022148
2038,14450638.75405677
2039,15549045.043140246
2040,16682471.333295455
2041,17851312.797334574
2042,19055831.37816298
2043,20296289.018686056
2044,21572947.661809154
2045,22728910.38360263
2046,23915373.88026887
2047,24658337.228001993
2048,25084150.56133532
2049,26523376.602790933
2050,27145446.861526243
