year,Total_costAnnual
2020,24.464000000000002
2021,141.79302654622396
2022,244.67150422148714
2023,318.5747555312905
2024,484.4157663096285
2025,665.3416519402257
2026,919.1769834776549
2027,1081.0463364090474
2028,1179.793575978904
2029,1262.460850363052
2030,1327.4606321880976
2031,1373.3992794550938
2032,1399.0761858788421
2033,1403.5181230116473
2034,1386.2467460857172
2035,1348.2286589704374
2036,1289.387077775669
2037,1212.5210387562515
2038,1121.6235500138914
2039,1015.9934016936522
2040,903.932052226866
2041,778.6094212312414
2042,639.4388863186083
2043,486.90470304611
2044,330.35399801629126
2045,317.37036086415776
2046,304.38069107481067
2047,291.3830480898126
2048,278.37549218806834
2049,187.7424262991063
2050,173.15447833545858
