year,Total_ghgAnnual
2020,585600.0
2021,1607518.1183622
2022,2700751.2849560278
2023,3863216.7687061275
2024,5195609.578611143
2025,6599317.122923593
2026,8072677.5011654515
2027,9618763.863758164
2028,11228697.441029096
2029,12906040.188549917
2030,14659392.281486738
2031,16487508.582475467
2032,18385599.853653558
2033,20351250.576510902
2034,22383860.74612056
2035,24466470.484556224
2036,26597930.4402612
2037,28754351.356492743
2038,30910190.5877956
2039,32744800.975738898
2040,34633653.45888316
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44427821.27888009
2050,46822390.287455484
