year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2468803.4437445845
2023,4389885.751634769
2024,19367003.845809646
2025,34285208.446252674
2026,48947914.13248962
2027,63447774.739306234
2028,77833182.87223865
2029,91818625.87457573
2030,106022314.141866
2031,120247029.46567868
2032,134034730.12685436
2033,147479922.7220945
2034,167026837.37169346
2035,179730953.5351856
2036,191863208.17888308
2037,203574542.2443261
2038,214473798.69109455
2039,216771644.97478867
2040,211646379.10934368
2041,206521113.24389875
2042,201395847.37845364
2043,196270581.51300877
2044,191145315.64756382
2045,186020049.78211877
2046,180894783.91667387
2047,175769518.0512288
2048,170644252.1857839
2049,165518986.32033882
2050,160393720.4548939
