year,purCO2LULUCF
2020,1.3344
2021,4.3236742579653615
2022,6.86053158877019
2023,8.970919643900327
2024,10.577223611267607
2025,11.799250472496677
2026,12.666298662542694
2027,13.196489420861381
2028,13.412475184102512
2029,13.35317197697157
2030,13.023753291279592
2031,12.44880603580117
2032,11.656228375556392
2033,10.668525397158518
2034,9.454178134584218
2035,8.143804784719872
2036,6.728365775118629
2037,5.222993795388696
2038,3.6664865507688873
2039,2.2468058453244666
2040,1.1246228655513661
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
