year,Total_ghgAnnual
2020,585600.0
2021,1795965.74203464
2022,3086988.411229812
2023,4456160.3560996745
2024,6004536.3887323905
2025,7635749.527503326
2026,9343941.337457305
2027,11134430.57913862
2028,13008004.815897489
2029,14949188.023028433
2030,16976246.70872041
2031,19088033.964198828
2032,21280091.624443613
2033,23553354.60284148
2034,25962781.86541578
2035,28401195.215280123
2036,30901074.224881366
2037,33470726.2046113
2038,36094793.44923112
2039,38608754.15467554
2040,40875377.13444864
2041,43207680.0
2042,44450239.99999999
2043,45688960.0
2044,46885120.0
2045,48000000.0
2046,48994880.0
2047,49831039.99999999
2048,50469759.99999999
2049,53067213.685229294
2050,55983836.16868275
