year,Total_costAnnual
2020,24.464000000000002
2021,149.86511386983761
2022,253.1431592192129
2023,327.44655216509534
2024,493.6882845277972
2025,675.0154776773609
2026,929.252708654677
2027,1091.5245589331948
2028,1190.674899743733
2029,1273.7458852484365
2030,1339.1499940602296
2031,1385.493590166483
2032,1411.5760732683161
2033,1416.4242209043514
2034,1399.5596942931147
2035,1361.9491032903093
2036,1303.5156699921145
2037,1227.0584366396872
2038,1136.570417321052
2039,1031.35040816759
2040,919.6998735969515
2041,794.7887392131629
2042,656.0303886143718
2043,503.9090833440392
2044,347.77195599102794
2045,335.18939654177296
2046,322.599296296001
2047,309.9992295556653
2048,297.3867716693969
2049,187.7424262991063
2050,173.15447833545858
