year,costAnnualFMs
2020,0.0
2021,40360436.61806836
2022,42358274.98862878
2023,44358983.16902402
2024,46362591.090843275
2025,48369128.6856758
2026,50378625.88511079
2027,52391112.620737515
2028,54406618.82414516
2029,56425174.42692297
2030,58446809.36066019
2031,60471553.55694602
2032,62499436.94736966
2033,64530489.46352039
2034,66564741.03698742
2035,68602221.59935994
2036,70642961.0822272
2037,72686989.41717848
2038,74679860.62235789
2039,76661190.14119132
2040,78644609.13152078
2041,80630664.23690227
2042,82618168.18580182
2043,84605500.90742189
2044,86591043.08735415
2045,88573176.1524039
2046,90550282.25577788
2047,92520744.26262693
2048,94482945.73593119
2049,0.0
2050,0.0
