year,ghgAbateAnnualFMs
2020,731999.9999999999
2021,1909797.6479527494
2022,3144347.198586149
2023,4436262.580584674
2024,5786157.722632799
2025,7194646.5534149995
2026,8662343.00161575
2027,10189860.995919526
2028,11777814.465010801
2029,13426817.33757405
2030,15137483.542293753
2031,16910427.007854372
2032,18746261.6629404
2033,20645601.436236307
2034,22609060.256426554
2035,24637252.052195624
2036,26730790.752228
2037,28890290.28520815
2038,30031762.961718343
2039,30943662.961718343
2040,31897362.961718343
2041,32903762.961718343
2042,33939229.62838501
2043,34971496.29505168
2044,35968296.29505168
2045,36897362.96171834
2046,37726429.628385015
2047,38423229.62838501
2048,38955496.29505167
2049,41882177.81563689
2050,43423104.120052375
