year,Total_costAnnual
2020,19.096000000000004
2021,126.8997488640569
2022,208.50291390438343
2023,261.22443101752054
2024,386.0230703415881
2025,517.8779493669581
2026,695.8139355005186
2027,792.1744221578865
2028,831.8851864758933
2029,851.290633164812
2030,848.2409830671717
2031,820.8445942248316
2032,767.226029735755
2033,685.605043356829
2034,574.720234227532
2035,469.51392464720175
2036,337.7807821246444
2037,178.79423625993144
2038,148.39670100686016
2039,152.40502581252278
2040,156.4154400896814
2041,160.4284904818921
2042,164.44298971762083
2043,168.45731772607007
2044,172.46985519283155
2045,176.47898354471047
2046,180.48308493491362
2047,184.48054222859187
2048,188.46973898872534
2049,96.01378853962333
2050,98.04078382645251
