year,costAnnualFMs
2020,0.0
2021,26891147.678574793
2022,28206472.557945456
2023,29522945.361250054
2024,30840578.06112426
2025,32159382.63020377
2026,33479371.041124277
2027,34800555.26652147
2028,36122947.279031016
2029,37446559.05128866
2030,38771402.55593005
2031,40097489.765590884
2032,41424832.65290684
2033,42753443.19051362
2034,44083333.35104691
2035,45414515.107142456
2036,46747000.43143587
2037,48080801.29656288
2038,49415929.67515914
2039,50752397.53986039
2040,52090216.863302305
2041,53429399.61812056
2042,54755210.25408764
2043,56076682.064295486
2044,57397079.34970502
2045,58715430.96880439
2046,60030766.21588432
2047,61342114.81236409
2048,62648506.89832379
2049,0.0
2050,0.0
