year,Total_ghgAnnual
2020,488000.0
2021,1040442.0591811001
2022,1689034.4542557213
2023,2414463.132322188
2024,3205185.129815152
2025,4042915.134340857
2026,4926476.892564129
2027,5849516.838676778
2028,6819892.078941372
2029,7837633.677436894
2030,8961862.223456848
2031,10117757.394115815
2032,11300114.744552653
2033,12475823.400519973
2034,13638305.265471853
2035,14793040.41188236
2036,15972255.413865203
2037,17140092.013726987
2038,18338501.99791769
2039,19469396.32464107
2040,20547681.440907523
2041,21519474.301553927
2042,22225119.999999996
2043,22844480.0
2044,23442560.0
2045,24000000.0
2046,24497440.0
2047,24915519.999999996
2048,25234879.999999996
2049,26411089.35362034
2050,27373036.50782423
