year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15763205.635786865
2023,27686248.47436153
2024,41823328.79379765
2025,64772433.43587208
2026,86980760.76733708
2027,108509130.91521566
2028,129386005.84510806
2029,149382155.64250222
2030,168922468.687259
2031,187864177.51069742
2032,205721926.46314722
2033,222563523.8323974
2034,238610356.18714705
2035,253829817.71749985
2036,268250879.0855659
2037,281070230.58498794
2038,292644205.4668491
2039,301589030.3803014
2040,305206656.2428269
2041,306077684.45695156
2042,305616544.4300293
2043,302214097.6179
2044,291737567.83059084
2045,276758379.7137259
2046,261779191.59686092
2047,246800003.47999588
2048,231820815.36313093
2049,216841627.24626607
2050,201862439.1294009
