year,ghgAbateAnnualFMs
2020,487999.99999999994
2021,1524617.9615590496
2022,2623108.90544133
2023,3784004.903173385
2024,5007838.026281759
2025,6295140.3462930005
2026,7646443.93473365
2027,9062280.863130253
2028,10543183.203009361
2029,12089683.02589751
2030,13702312.403321248
2031,15381603.406807125
2032,17128088.10788168
2033,18942298.578071456
2034,20824766.888903014
2035,22776025.111902878
2036,24662468.846022237
2037,26534035.10793836
2038,28463299.496602435
2039,30450794.083541017
2040,32497050.94028063
2041,34602602.138347834
2042,36767979.74926916
2043,38993715.844571166
2044,41280342.49578041
2045,42488129.162447065
2046,43565915.82911374
2047,44471755.82911374
2048,45163702.49578041
2049,47777028.629411355
2050,49560029.41487586
