year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,29572655.446016014
2024,30908394.06056219
2025,33983510.26941215
2026,39558151.778181635
2027,46149610.2789568
2028,47911710.50918612
2029,49675843.67232888
2030,51442029.72277792
2031,53210288.614926
2032,54980640.303165995
2033,56753104.74189068
2034,58527701.88549294
2035,60304451.6883655
2036,62083374.104901224
2037,63864489.08949297
2038,65647816.59653346
2039,67433376.58041559
2040,69221188.99553218
2041,71011273.79627596
2042,72803650.93703984
2043,74598340.37221661
2044,76395362.05619907
2045,78150717.16041844
2046,79901045.06695974
2047,81644728.64379199
2048,83380151.45666905
2049,0.0
2050,0.0
