year,Total_ghgAnnual
2020,488000.0
2021,1401365.1965002285
2022,2379693.95407709
2023,3449633.4006764963
2024,4602040.191641762
2025,5844420.687483352
2026,7234087.120454892
2027,8699550.314528167
2028,10151329.642872626
2029,11663665.203901995
2030,13245075.315624464
2031,14894232.983517999
2032,16606267.112562135
2033,18380892.713921614
2034,20215262.98758152
2035,22092336.198457606
2036,24010881.137835246
2037,25946926.691813778
2038,27874848.357780006
2039,29810210.618498176
2040,31706373.498157293
2041,33635331.54213208
2042,35571824.212530725
2043,37311989.75548008
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44034717.2577374
2050,45410306.238660105
