*,Value
2020,16.0
2021,20.0
2022,24.0
2023,24.0
2024,32.0
2025,40.0
2026,52.0
2027,58.187166445351764
2028,61.3874605998461
2029,64.76377093283764
2030,68.3257783341437
2031,72.08369614252159
2032,76.04829943036029
2033,80.2309558990301
2034,84.64365847347675
2035,89.29905968951797
2036,94.21050797244145
2037,99.39208591092572
2038,104.85865063602665
2039,110.6258764210081
2040,116.71029962416351
2041,123.1293661034925
2042,129.9014812391846
2043,137.04606270733973
2044,144.5835961562434
2045,152.5356939448368
2046,160.9251571118028
2047,169.77604075295196
2048,179.1137229943643
2049,188.96497775905434
2050,199.3580515358023
